Data File:                  EBL4527A.AKF
Measurement Programm:	5.0.9

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces at Hip Joint
Diagram Title #2	Relative to Femur

Comment #1	HIP JOINT Bicycle: Speed 50 rpm; Power 20 Watt
Comment #2	 Pat.: EBL, Side: left, 6 Month PO

BodyWeight [N]:	640.0

Implant Type:	Hip Joint

Axes Directions X, Y, Z: 	Medial, Anterior, Superior
Axes Origin: 	Center of Femoral Head
Angle of Rotation (Deg):	Z = 5.0	X = 10.0	Y = 0.0
Displacement X, Y, Z (mm):	0.0	0.0	0.0
Activity Code:	HIPJOINT	1P_1_2_1_4	2P_1_4_16






---------------------------DATA--------------------------------

Number of Data Sets =	999
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	490.15	3.748

Time	-Fx	-Fy	-Fz	Fres	-	-	-	Marker
[s]	[N]	[N]	[N]	[N]	-	-	-	[0/1]

0.000	00223.80	00095.98	00283.87	00374.00	-	-	-	0
0.005	00223.71	00095.95	00284.14	00374.15	-	-	-	0
0.009	00223.59	00095.91	00284.39	00374.26	-	-	-	0
0.014	00223.41	00095.84	00284.40	00374.14	-	-	-	0
0.018	00223.14	00095.71	00283.95	00373.60	-	-	-	0
0.023	00222.72	00095.48	00282.98	00372.56	-	-	-	0
0.027	00222.03	00095.04	00281.57	00370.96	-	-	-	0
0.050	00220.84	00094.20	00280.02	00368.86	-	-	-	0
0.055	00219.27	00093.08	00278.52	00366.49	-	-	-	0
0.059	00217.59	00091.75	00277.11	00364.08	-	-	-	0
0.064	00215.94	00090.25	00275.75	00361.68	-	-	-	0
0.068	00214.50	00088.44	00274.35	00359.31	-	-	-	0
0.073	00213.35	00086.24	00272.76	00356.87	-	-	-	0
0.091	00212.34	00083.66	00270.76	00354.12	-	-	-	0
0.096	00211.31	00080.90	00268.27	00350.95	-	-	-	0
0.100	00210.34	00078.02	00265.34	00347.47	-	-	-	0
0.105	00209.48	00075.10	00262.11	00343.84	-	-	-	0
0.109	00208.67	00072.18	00258.65	00340.08	-	-	-	0
0.114	00207.92	00069.34	00255.17	00336.38	-	-	-	0
0.118	00207.13	00066.65	00251.78	00332.78	-	-	-	0
0.123	00206.04	00064.30	00248.66	00329.27	-	-	-	0
0.128	00204.63	00062.30	00245.80	00325.84	-	-	-	0
0.132	00202.95	00060.59	00243.11	00322.43	-	-	-	0
0.137	00201.14	00059.09	00240.49	00319.04	-	-	-	0
0.141	00199.33	00057.72	00237.90	00315.69	-	-	-	0
0.146	00197.56	00056.38	00235.39	00312.44	-	-	-	0
0.150	00195.84	00055.03	00233.06	00309.35	-	-	-	0
0.168	00194.25	00053.65	00230.89	00306.46	-	-	-	0
0.173	00192.80	00052.31	00228.81	00303.75	-	-	-	0
0.177	00191.46	00051.01	00226.83	00301.18	-	-	-	0
0.182	00190.24	00049.71	00225.06	00298.86	-	-	-	0
0.186	00189.27	00048.39	00223.61	00296.93	-	-	-	0
0.205	00188.58	00047.08	00222.48	00295.43	-	-	-	0
0.209	00188.27	00045.94	00221.61	00294.39	-	-	-	0
0.214	00188.22	00045.12	00220.87	00293.68	-	-	-	0
0.218	00188.38	00044.63	00220.32	00293.29	-	-	-	0
0.223	00188.70	00044.44	00219.98	00293.22	-	-	-	0
0.227	00189.12	00044.39	00219.90	00293.42	-	-	-	0
0.232	00189.50	00044.17	00220.42	00294.02	-	-	-	0
0.236	00189.78	00043.64	00221.37	00294.83	-	-	-	0
0.241	00189.97	00042.80	00222.68	00295.81	-	-	-	0
0.246	00190.13	00041.75	00224.34	00297.02	-	-	-	0
0.250	00190.35	00040.59	00226.36	00298.53	-	-	-	0
0.255	00190.61	00039.43	00228.65	00300.28	-	-	-	0
0.259	00190.93	00038.35	00231.18	00302.28	-	-	-	0
0.264	00191.48	00037.38	00233.88	00304.57	-	-	-	0
0.286	00192.29	00036.65	00236.76	00307.20	-	-	-	0
0.291	00193.33	00036.20	00239.74	00310.10	-	-	-	0
0.296	00194.42	00036.02	00242.84	00313.16	-	-	-	0
0.300	00195.62	00036.11	00246.04	00316.39	-	-	-	0
0.305	00196.93	00036.43	00249.35	00319.82	-	-	-	0
0.309	00198.29	00036.94	00252.75	00323.37	-	-	-	0
0.314	00199.47	00037.48	00256.28	00326.91	-	-	-	0
0.318	00200.39	00038.02	00259.93	00330.40	-	-	-	0
0.323	00201.03	00038.53	00263.74	00333.85	-	-	-	0
0.327	00201.41	00039.00	00267.69	00337.26	-	-	-	0
0.332	00201.54	00039.36	00271.78	00340.63	-	-	-	0
0.336	00201.45	00039.49	00275.86	00343.86	-	-	-	0
0.341	00201.16	00039.33	00279.94	00346.96	-	-	-	0
0.346	00200.70	00038.91	00283.99	00349.92	-	-	-	0
0.350	00200.19	00038.29	00288.02	00352.84	-	-	-	0
0.355	00199.86	00037.69	00291.94	00355.80	-	-	-	0
0.359	00200.24	00037.61	00295.34	00358.80	-	-	-	0
0.364	00201.43	00038.08	00298.12	00361.80	-	-	-	0
0.368	00203.36	00038.95	00300.33	00364.80	-	-	-	0
0.373	00205.79	00040.05	00302.07	00367.69	-	-	-	0
0.378	00208.50	00041.31	00303.42	00370.47	-	-	-	0
0.382	00211.44	00042.69	00304.49	00373.16	-	-	-	0
0.387	00214.52	00044.11	00305.35	00375.77	-	-	-	0
0.405	00217.71	00045.59	00306.07	00378.35	-	-	-	0
0.409	00220.92	00047.22	00306.71	00380.93	-	-	-	0
0.414	00224.07	00049.15	00307.35	00383.52	-	-	-	0
0.418	00227.17	00051.32	00308.08	00386.21	-	-	-	0
0.423	00230.20	00053.65	00309.04	00389.07	-	-	-	0
0.428	00233.22	00056.13	00310.18	00392.11	-	-	-	0
0.446	00236.32	00058.75	00311.49	00395.39	-	-	-	0
0.450	00239.51	00061.36	00312.96	00398.84	-	-	-	0
0.455	00242.57	00064.04	00314.46	00402.28	-	-	-	0
0.460	00245.42	00066.76	00315.92	00405.58	-	-	-	0
0.464	00248.08	00069.47	00317.48	00408.86	-	-	-	0
0.469	00250.44	00072.05	00319.22	00412.09	-	-	-	0
0.473	00252.49	00074.59	00321.20	00415.31	-	-	-	0
0.478	00254.29	00077.07	00323.35	00418.52	-	-	-	0
0.482	00255.90	00079.54	00325.67	00421.75	-	-	-	0
0.487	00257.35	00082.04	00328.11	00424.99	-	-	-	0
0.492	00258.56	00084.51	00330.72	00428.22	-	-	-	0
0.496	00259.55	00086.93	00333.33	00431.31	-	-	-	0
0.501	00260.59	00089.17	00335.82	00434.32	-	-	-	0
0.505	00261.89	00091.13	00338.03	00437.21	-	-	-	0
0.510	00263.30	00092.81	00340.00	00439.93	-	-	-	0
0.514	00264.79	00094.28	00341.69	00442.44	-	-	-	0
0.519	00266.34	00095.60	00343.13	00444.76	-	-	-	0
0.523	00267.83	00096.82	00344.39	00446.89	-	-	-	0
0.528	00269.26	00097.94	00345.50	00448.85	-	-	-	0
0.533	00270.59	00098.86	00346.49	00450.61	-	-	-	0
0.537	00271.73	00099.59	00347.28	00452.07	-	-	-	0
0.542	00272.66	00100.13	00347.96	00453.26	-	-	-	0
0.546	00273.39	00100.50	00348.43	00454.14	-	-	-	0
0.551	00273.89	00100.73	00348.67	00454.68	-	-	-	0
0.556	00274.11	00100.85	00348.66	00454.84	-	-	-	0
0.560	00274.15	00100.86	00348.39	00454.65	-	-	-	0
0.565	00274.03	00100.80	00347.81	00454.12	-	-	-	0
0.569	00273.74	00100.71	00346.87	00453.20	-	-	-	0
0.574	00273.20	00100.70	00345.45	00451.79	-	-	-	0
0.578	00272.53	00100.69	00343.67	00450.02	-	-	-	0
0.587	00271.86	00100.72	00341.67	00448.10	-	-	-	0
0.592	00271.41	00100.90	00339.86	00446.48	-	-	-	0
0.597	00271.14	00101.23	00338.34	00445.24	-	-	-	0
0.601	00271.04	00101.59	00337.12	00444.33	-	-	-	0
0.606	00271.04	00101.93	00336.13	00443.67	-	-	-	0
0.610	00271.10	00102.22	00335.29	00443.13	-	-	-	0
0.615	00271.07	00102.45	00334.42	00442.51	-	-	-	0
0.620	00270.96	00102.54	00333.52	00441.78	-	-	-	0
0.624	00270.87	00102.34	00332.49	00440.90	-	-	-	0
0.629	00270.84	00101.80	00331.40	00439.93	-	-	-	0
0.633	00270.86	00100.94	00330.29	00438.91	-	-	-	0
0.638	00270.85	00099.61	00329.27	00437.83	-	-	-	0
0.642	00270.64	00097.72	00328.30	00436.55	-	-	-	0
0.647	00270.13	00095.25	00327.27	00434.91	-	-	-	0
0.651	00269.21	00092.27	00325.98	00432.72	-	-	-	0
0.656	00267.76	00088.87	00324.27	00429.82	-	-	-	0
0.661	00265.60	00085.05	00322.04	00426.02	-	-	-	0
0.665	00262.72	00080.86	00319.24	00421.28	-	-	-	0
