Data File:	H10R_260413_1_4.AKF
Measurement Programm:	5.6.5

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces and Moments at Hip Joint
Diagram Title #2	Measured Relative to Bone

Comment #1	Hip Joint III; Standing; Two Legged Stance;
Comment #2	H10R, 3 Months PO  *  

BodyWeight [N]:	964

Implant Type:	Hip Joint III

Axes Directions X, Y, Z:	Lateral, Anterior, Superior
Axes Origin: 	Ball center
Angle of Rotation (Deg):	X = 1,72	Y = -1,15	Z = -9,74
Displacement X, Y, Z (mm):	0	0	0
Activity Code:	Huefte_III_Activities	1P_1_10_1	






---------------------------DATA--------------------------------

Number of Data Sets =	570
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	1034,75	6,029

Time	Fx	Fy	Fz	F	Mx	My	Mz	Marker
[s]	[N]	[N]	[N]	[N]	[Nm]	[Nm]	[Nm]	[0/1]

0.000	00320.19	-00052.20	-00867.61	00926.27	-00000.70	-00000.62	00000.15	1
0.011	00320.21	-00052.13	-00868.43	00927.05	-00000.69	-00000.62	00000.15	1
0.021	00320.04	-00051.66	-00869.05	00927.55	-00000.68	-00000.62	00000.15	1
0.032	00320.24	-00051.72	-00870.17	00928.67	-00000.68	-00000.62	00000.14	1
0.043	00320.59	-00051.40	-00871.47	00929.99	-00000.66	-00000.61	00000.14	1
0.053	00321.07	-00051.38	-00872.81	00931.41	-00000.66	-00000.61	00000.13	1
0.064	00321.49	-00051.13	-00874.15	00932.79	-00000.65	-00000.60	00000.13	1
0.074	00321.78	-00051.23	-00875.34	00934.01	-00000.64	-00000.60	00000.12	1
0.085	00322.05	-00051.07	-00876.67	00935.35	-00000.63	-00000.59	00000.12	1
0.096	00322.49	-00051.18	-00878.18	00936.92	-00000.62	-00000.58	00000.11	1
0.106	00323.11	-00051.07	-00879.98	00938.81	-00000.60	-00000.57	00000.11	1
0.117	00323.52	-00051.15	-00881.49	00940.38	-00000.59	-00000.56	00000.10	1
0.127	00323.96	-00051.00	-00883.14	00942.06	-00000.57	-00000.55	00000.10	1
0.138	00324.44	-00051.02	-00884.68	00943.67	-00000.55	-00000.54	00000.09	1
0.149	00325.08	-00050.95	-00886.37	00945.47	-00000.53	-00000.53	00000.09	1
0.159	00325.41	-00051.01	-00887.81	00946.94	-00000.51	-00000.52	00000.08	1
0.170	00325.88	-00051.09	-00889.18	00948.39	-00000.49	-00000.51	00000.08	1
0.180	00326.09	-00051.14	-00890.28	00949.50	-00000.47	-00000.51	00000.07	1
0.191	00326.69	-00051.24	-00891.60	00950.95	-00000.46	-00000.50	00000.07	1
0.202	00326.72	-00051.19	-00892.61	00951.90	-00000.43	-00000.49	00000.07	1
0.212	00327.17	-00051.33	-00893.74	00953.12	-00000.42	-00000.49	00000.07	1
0.223	00327.07	-00051.35	-00894.43	00953.74	-00000.40	-00000.48	00000.07	1
0.233	00327.54	-00051.43	-00895.51	00954.92	-00000.38	-00000.48	00000.07	1
0.244	00327.49	-00051.27	-00896.08	00955.43	-00000.35	-00000.47	00000.07	1
0.255	00327.93	-00051.42	-00896.86	00956.31	-00000.34	-00000.48	00000.07	1
0.265	00327.77	-00051.27	-00897.03	00956.41	-00000.32	-00000.48	00000.08	1
0.276	00328.00	-00051.32	-00897.40	00956.84	-00000.30	-00000.48	00000.08	1
0.286	00327.70	-00051.14	-00897.36	00956.68	-00000.28	-00000.48	00000.08	1
0.297	00328.08	-00051.25	-00897.71	00957.16	-00000.27	-00000.48	00000.09	1
0.308	00328.01	-00051.13	-00897.64	00957.06	-00000.26	-00000.49	00000.09	1
0.318	00331.59	-00051.51	-00900.88	00961.34	-00000.25	-00000.50	00000.10	1
0.329	00331.82	-00051.38	-00900.90	00961.44	-00000.23	-00000.50	00000.10	1
0.339	00332.68	-00051.62	-00901.24	00962.07	-00000.23	-00000.51	00000.11	1
0.350	00332.83	-00051.56	-00901.04	00961.93	-00000.22	-00000.52	00000.11	1
0.360	00333.46	-00051.75	-00901.31	00962.41	-00000.22	-00000.53	00000.11	1
0.371	00333.20	-00051.70	-00900.81	00961.85	-00000.21	-00000.53	00000.12	1
0.382	00333.44	-00051.85	-00900.63	00961.77	-00000.21	-00000.54	00000.12	1
0.392	00333.07	-00051.94	-00899.95	00961.01	-00000.20	-00000.55	00000.12	1
0.403	00333.01	-00052.01	-00899.59	00960.66	-00000.20	-00000.55	00000.12	1
0.413	00332.47	-00051.99	-00898.74	00959.67	-00000.20	-00000.55	00000.12	1
0.424	00331.92	-00051.98	-00897.93	00958.72	-00000.20	-00000.55	00000.12	1
0.435	00331.28	-00052.04	-00896.90	00957.54	-00000.20	-00000.56	00000.12	1
0.445	00330.50	-00051.84	-00895.85	00956.28	-00000.20	-00000.56	00000.13	1
0.456	00329.72	-00051.87	-00894.72	00954.95	-00000.20	-00000.56	00000.13	1
0.466	00329.28	-00051.65	-00894.08	00954.19	-00000.20	-00000.55	00000.13	1
0.477	00328.58	-00051.74	-00893.17	00953.10	-00000.21	-00000.55	00000.13	0
0.488	00327.92	-00051.50	-00892.20	00951.95	-00000.21	-00000.55	00000.13	0
0.498	00327.39	-00051.48	-00891.35	00950.97	-00000.22	-00000.55	00000.13	0
0.509	00327.09	-00051.27	-00890.86	00950.40	-00000.22	-00000.54	00000.14	0
