Data File:                  EBL_STUMBLING.AKF
Measurement Programm:	5.0.9

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces at Hip Joint
Diagram Title #2	Relative to Femur

Comment #1	HIP JOINT Stumbling
Comment #2	Pat.: E.B., Side: Left, 24 Months P.O.                         

BodyWeight [N]:	650.0

Implant Type:	Hip Joint

Axes Directions X, Y, Z: 	Medial, Anterior, Superior
Axes Origin: 	Center of Femoral Head
Angle of Rotation (Deg):	Z = 5.0	X = 10.0	Y = 0.0
Displacement X, Y, Z (mm):	0.0	0.0	0.0
Activity Code:	HIPJOINT	1P_1_11	






---------------------------DATA--------------------------------

Number of Data Sets =	1248
Number of analog channels =	0
Time-Offset(sec) =	0.0
Max. Force (N, sec):	4681.21	3.13

Time	-Fx	-Fy	-Fz	Fres	-	-	-	Marker
[s]	[N]	[N]	[N]	[N]	-	-	-	[0/1]

0.000	00175.50	00091.00	00240.50	00311.32	-	-	-	0
0.005	00175.50	00097.50	00247.00	00318.30	-	-	-	0
0.009	00182.00	00097.50	00260.00	00332.01	-	-	-	0
0.014	00182.00	00104.00	00266.50	00339.06	-	-	-	0
0.018	00182.00	00104.00	00273.00	00344.19	-	-	-	0
0.023	00188.50	00104.00	00273.00	00347.67	-	-	-	0
0.027	00188.50	00104.00	00279.50	00352.80	-	-	-	0
0.032	00195.00	00104.00	00286.00	00361.44	-	-	-	0
0.037	00195.00	00104.00	00286.00	00361.44	-	-	-	0
0.041	00188.50	00104.00	00279.50	00352.80	-	-	-	0
0.046	00188.50	00110.50	00279.50	00354.77	-	-	-	0
0.050	00188.50	00104.00	00286.00	00357.97	-	-	-	0
0.055	00188.50	00104.00	00286.00	00357.97	-	-	-	0
0.059	00182.00	00104.00	00279.50	00349.37	-	-	-	0
0.064	00182.00	00110.50	00279.50	00351.36	-	-	-	0
0.069	00188.50	00110.50	00279.50	00354.77	-	-	-	0
0.073	00182.00	00117.00	00273.00	00348.34	-	-	-	0
0.078	00182.00	00117.00	00266.50	00343.27	-	-	-	0
0.082	00169.00	00117.00	00260.00	00331.44	-	-	-	0
0.087	00169.00	00117.00	00260.00	00331.44	-	-	-	0
0.091	00169.00	00117.00	00260.00	00331.44	-	-	-	0
0.096	00169.00	00117.00	00253.50	00326.36	-	-	-	0
0.100	00162.50	00123.50	00247.00	00320.42	-	-	-	0
0.105	00162.50	00130.00	00240.50	00318.04	-	-	-	0
0.110	00156.00	00130.00	00234.00	00309.83	-	-	-	0
0.114	00156.00	00136.50	00234.00	00312.61	-	-	-	0
0.119	00156.00	00136.50	00234.00	00312.61	-	-	-	0
0.123	00162.50	00136.50	00227.50	00311.12	-	-	-	0
0.128	00162.50	00143.00	00227.50	00314.02	-	-	-	0
0.132	00169.00	00149.50	00227.50	00320.42	-	-	-	0
0.137	00169.00	00162.50	00227.50	00326.69	-	-	-	0
0.142	00169.00	00169.00	00221.00	00325.52	-	-	-	0
0.146	00169.00	00169.00	00221.00	00325.52	-	-	-	0
0.151	00169.00	00162.50	00227.50	00326.69	-	-	-	0
0.155	00175.50	00162.50	00227.50	00330.10	-	-	-	0
0.160	00175.50	00169.00	00221.00	00328.94	-	-	-	0
0.164	00175.50	00169.00	00214.50	00324.61	-	-	-	0
0.169	00169.00	00175.50	00214.50	00324.61	-	-	-	0
0.173	00169.00	00175.50	00214.50	00324.61	-	-	-	0
0.178	00169.00	00175.50	00214.50	00324.61	-	-	-	0
0.183	00175.50	00162.50	00227.50	00330.10	-	-	-	0
0.187	00182.00	00162.50	00221.00	00329.20	-	-	-	0
0.192	00182.00	00169.00	00221.00	00332.45	-	-	-	0
0.196	00175.50	00175.50	00201.50	00319.69	-	-	-	0
0.201	00169.00	00182.00	00195.00	00315.77	-	-	-	0
0.205	00162.50	00175.50	00188.50	00304.53	-	-	-	0
0.210	00162.50	00175.50	00195.00	00308.60	-	-	-	0
0.215	00162.50	00175.50	00188.50	00304.53	-	-	-	0
0.219	00156.00	00175.50	00182.00	00297.09	-	-	-	0
0.224	00156.00	00169.00	00169.00	00285.41	-	-	-	0
0.228	00156.00	00169.00	00169.00	00285.41	-	-	-	0
0.233	00156.00	00169.00	00169.00	00285.41	-	-	-	0
0.237	00149.50	00169.00	00162.50	00278.06	-	-	-	0
0.242	00143.00	00169.00	00156.00	00270.82	-	-	-	0
0.246	00136.50	00162.50	00149.50	00259.59	-	-	-	0
0.251	00136.50	00162.50	00143.00	00255.91	-	-	-	0
0.255	00136.50	00162.50	00136.50	00252.33	-	-	-	0
0.260	00136.50	00162.50	00130.00	00248.87	-	-	-	0
0.265	00136.50	00156.00	00130.00	00244.68	-	-	-	0
0.269	00136.50	00156.00	00130.00	00244.68	-	-	-	0
0.274	00136.50	00149.50	00123.50	00237.14	-	-	-	0
0.278	00130.00	00149.50	00123.50	00233.46	-	-	-	0
0.283	00117.00	00143.00	00117.00	00218.69	-	-	-	0
0.287	00117.00	00136.50	00117.00	00214.50	-	-	-	0
0.292	00117.00	00130.00	00110.50	00206.88	-	-	-	0
0.296	00110.50	00123.50	00104.00	00195.65	-	-	-	0
0.301	00104.00	00123.50	00091.00	00185.34	-	-	-	0
0.305	00097.50	00117.00	00084.50	00174.17	-	-	-	0
0.310	00097.50	00117.00	00084.50	00174.17	-	-	-	0
0.314	00097.50	00104.00	00091.00	00169.12	-	-	-	0
0.319	00091.00	00097.50	00084.50	00157.88	-	-	-	0
0.323	00084.50	00091.00	00078.00	00146.65	-	-	-	0
0.328	00091.00	00091.00	00078.00	00150.49	-	-	-	0
0.333	00091.00	00084.50	00071.50	00143.30	-	-	-	0
0.337	00084.50	00084.50	00065.00	00136.03	-	-	-	0
0.342	00078.00	00078.00	00058.50	00124.86	-	-	-	0
0.346	00065.00	00078.00	00065.00	00120.56	-	-	-	0
0.351	00065.00	00078.00	00065.00	00120.56	-	-	-	0
0.355	00071.50	00071.50	00065.00	00120.21	-	-	-	0
0.360	00078.00	00065.00	00058.50	00117.18	-	-	-	0
0.364	00071.50	00065.00	00052.00	00109.73	-	-	-	0
0.369	00071.50	00065.00	00052.00	00109.73	-	-	-	0
0.373	00084.50	00078.00	00032.50	00119.50	-	-	-	0
0.378	00084.50	00071.50	00032.50	00115.36	-	-	-	0
0.382	00078.00	00071.50	00032.50	00110.69	-	-	-	0
0.387	00065.00	00052.00	00052.00	00098.15	-	-	-	0
0.391	00058.50	00052.00	00045.50	00090.53	-	-	-	0
0.396	00058.50	00052.00	00039.00	00087.45	-	-	-	0
0.400	00052.00	00052.00	00032.50	00080.40	-	-	-	0
0.405	00052.00	00052.00	00032.50	00080.40	-	-	-	0
0.409	00058.50	00052.00	00039.00	00087.45	-	-	-	0
0.414	00058.50	00045.50	00045.50	00086.96	-	-	-	0
0.418	00065.00	00045.50	00045.50	00091.46	-	-	-	0
0.423	00058.50	00045.50	00045.50	00086.96	-	-	-	0
0.427	00065.00	00045.50	00058.50	00098.58	-	-	-	0
0.432	00065.00	00045.50	00065.00	00102.57	-	-	-	0
0.436	00071.50	00045.50	00071.50	00110.88	-	-	-	0
0.441	00071.50	00045.50	00078.00	00115.18	-	-	-	0
0.446	00078.00	00045.50	00097.50	00132.89	-	-	-	0
0.450	00084.50	00045.50	00117.00	00151.33	-	-	-	0
0.455	00084.50	00045.50	00130.00	00161.59	-	-	-	0
0.459	00091.00	00039.00	00156.00	00184.76	-	-	-	0
0.464	00097.50	00039.00	00175.50	00204.52	-	-	-	0
0.468	00104.00	00039.00	00201.50	00230.09	-	-	-	0
0.473	00117.00	00039.00	00221.00	00253.08	-	-	-	0
0.477	00123.50	00039.00	00240.50	00273.15	-	-	-	0
0.482	00136.50	00032.50	00266.50	00301.18	-	-	-	0
0.487	00149.50	00032.50	00299.00	00335.87	-	-	-	0
0.491	00162.50	00032.50	00331.50	00370.61	-	-	-	0
0.496	00169.00	00032.50	00357.50	00396.77	-	-	-	0
0.500	00169.00	00039.00	00383.50	00420.90	-	-	-	0
0.505	00175.50	00045.50	00416.00	00453.79	-	-	-	0
0.510	00188.50	00052.00	00448.50	00489.27	-	-	-	0
0.514	00195.00	00058.50	00474.50	00516.33	-	-	-	0
0.519	00201.50	00065.00	00507.00	00549.43	-	-	-	0
0.523	00214.50	00065.00	00533.00	00578.21	-	-	-	0
0.528	00240.50	00078.00	00565.50	00619.45	-	-	-	0
0.533	00253.50	00091.00	00585.00	00644.03	-	-	-	0
0.537	00260.00	00097.50	00624.00	00683.00	-	-	-	0
0.542	00260.00	00097.50	00650.00	00706.83	-	-	-	0
0.547	00273.00	00097.50	00689.00	00747.50	-	-	-	0
0.551	00286.00	00104.00	00721.50	00783.05	-	-	-	0
0.556	00299.00	00104.00	00760.50	00823.76	-	-	-	0
