Data File:                  EBL4623B.AKF
Measurement Programm:	5.0.9

------------------------MEASURING INFOS------------------------
Diagram Title #1	Forces at Hip Joint
Diagram Title #2	Relative to Femur

Comment #1	HIP JOINT Walking on Treadmill: constant Speed 5 km/h
Comment #2	Pat.: EBL, left Side, 51 Month PO

BodyWeight [N]:	610.0

Implant Type:	Hip Joint

Axes Directions X, Y, Z: 	Medial, Anterior, Superior
Axes Origin: 	Center of Femoral Head
Angle of Rotation (Deg):	Z = 5.0	X = 10.0	Y = 0.0
Displacement X, Y, Z (mm):	0.0	0.0	0.0
Activity Code:	HIPJOINT	1P_1_7_2_4_6	






---------------------------DATA--------------------------------

Number of Data Sets =	1252
Number of analog channels =	0
Time-Offset(sec) =	-0.03
Max. Force (N, sec):	2338.54	5.581

Time	-Fx	-Fy	-Fz	Fres	-	-	-	Marker
[s]	[N]	[N]	[N]	[N]	-	-	-	[0/1]

0.000	00155.79	00022.67	00428.18	00456.20	-	-	-	0
0.005	00159.74	00021.55	00442.29	00470.74	-	-	-	0
0.009	00164.26	00020.38	00458.09	00487.07	-	-	-	0
0.013	00169.32	00019.25	00475.42	00505.04	-	-	-	0
0.018	00174.79	00018.35	00494.06	00524.39	-	-	-	0
0.022	00180.65	00017.78	00513.89	00545.01	-	-	-	0
0.027	00186.91	00017.75	00534.73	00566.74	-	-	-	0
0.031	00193.68	00018.36	00556.52	00589.54	-	-	-	0
0.036	00200.96	00019.62	00579.09	00613.28	-	-	-	0
0.040	00208.89	00021.56	00602.31	00637.86	-	-	-	0
0.045	00217.49	00024.22	00626.04	00663.19	-	-	-	0
0.049	00226.94	00027.63	00650.28	00689.29	-	-	-	0
0.054	00237.38	00031.75	00675.23	00716.45	-	-	-	0
0.058	00248.80	00036.55	00701.14	00744.87	-	-	-	0
0.063	00261.39	00041.90	00728.34	00774.96	-	-	-	0
0.067	00275.27	00047.77	00757.23	00807.12	-	-	-	0
0.072	00290.37	00054.06	00788.30	00841.82	-	-	-	0
0.076	00306.72	00060.88	00822.02	00879.49	-	-	-	0
0.081	00324.31	00068.14	00858.98	00920.68	-	-	-	0
0.085	00343.22	00075.74	00899.83	00966.04	-	-	-	0
0.090	00363.69	00083.71	00945.11	01016.12	-	-	-	0
0.094	00385.86	00091.98	00995.16	01071.31	-	-	-	0
0.099	00409.90	00100.47	01050.14	01131.77	-	-	-	0
0.117	00436.15	00109.24	01110.25	01197.84	-	-	-	0
0.122	00464.20	00118.32	01173.41	01267.43	-	-	-	0
0.127	00493.78	00127.88	01238.46	01339.39	-	-	-	0
0.131	00524.66	00137.98	01304.50	01412.81	-	-	-	0
0.136	00556.52	00148.69	01370.74	01486.86	-	-	-	0
0.141	00589.06	00159.99	01436.29	01560.62	-	-	-	0
0.145	00621.89	00171.75	01500.37	01633.20	-	-	-	0
0.150	00654.59	00183.85	01562.15	01703.71	-	-	-	0
0.155	00686.68	00196.07	01621.01	01771.34	-	-	-	0
0.160	00717.85	00208.21	01676.46	01835.53	-	-	-	0
0.165	00747.90	00219.92	01728.08	01895.77	-	-	-	0
0.170	00776.48	00230.98	01775.59	01951.66	-	-	-	0
0.175	00803.47	00241.16	01818.53	02002.69	-	-	-	0
0.180	00828.79	00250.31	01856.59	02048.52	-	-	-	0
0.185	00852.24	00258.26	01889.56	02088.89	-	-	-	0
0.190	00873.70	00264.83	01917.28	02123.55	-	-	-	0
0.195	00893.01	00269.92	01939.70	02152.38	-	-	-	0
0.200	00909.96	00273.41	01956.78	02175.26	-	-	-	0
0.205	00924.54	00275.24	01968.60	02192.24	-	-	-	0
0.210	00936.67	00275.35	01975.39	02203.48	-	-	-	0
0.215	00946.36	00273.72	01977.47	02209.28	-	-	-	0
0.220	00953.67	00270.45	01975.21	02210.00	-	-	-	0
0.225	00958.72	00265.58	01969.01	02206.06	-	-	-	0
0.230	00961.73	00259.35	01959.31	02197.97	-	-	-	0
0.235	00962.84	00251.87	01946.57	02186.24	-	-	-	0
0.240	00962.20	00243.23	01931.13	02171.23	-	-	-	0
0.244	00959.89	00233.59	01913.34	02153.33	-	-	-	0
0.249	00956.10	00223.11	01893.57	02132.96	-	-	-	0
0.254	00950.97	00211.93	01872.09	02110.45	-	-	-	0
0.259	00944.52	00200.18	01849.19	02086.07	-	-	-	0
0.264	00936.97	00187.98	01825.33	02060.35	-	-	-	0
0.269	00928.50	00175.42	01800.72	02033.59	-	-	-	0
0.273	00919.29	00162.52	01775.71	02006.15	-	-	-	0
0.278	00909.40	00149.36	01750.48	01978.26	-	-	-	0
0.283	00898.86	00136.03	01725.14	01950.02	-	-	-	0
0.288	00887.82	00122.62	01699.79	01921.60	-	-	-	0
0.293	00876.40	00109.23	01674.61	01893.23	-	-	-	0
0.297	00864.62	00095.94	01649.60	01864.92	-	-	-	0
0.302	00852.48	00082.83	01624.85	01836.77	-	-	-	0
0.307	00840.10	00069.90	01600.47	01808.91	-	-	-	0
0.312	00827.57	00057.23	01576.57	01781.49	-	-	-	0
0.316	00814.91	00044.82	01553.26	01754.62	-	-	-	0
0.321	00802.19	00032.78	01530.56	01728.36	-	-	-	0
0.326	00789.54	00021.10	01508.62	01702.87	-	-	-	0
0.330	00776.93	00009.81	01487.48	01678.18	-	-	-	0
0.335	00764.36	-00001.10	01467.18	01654.35	-	-	-	0
0.340	00751.93	-00011.59	01447.82	01631.48	-	-	-	0
0.344	00739.64	-00021.63	01429.48	01609.64	-	-	-	0
0.349	00727.49	-00031.19	01412.26	01588.93	-	-	-	0
0.354	00715.58	-00040.21	01396.19	01569.40	-	-	-	0
0.358	00703.71	-00048.65	01381.19	01550.89	-	-	-	0
0.363	00691.98	-00056.54	01367.22	01533.40	-	-	-	0
0.368	00680.41	-00063.91	01354.35	01517.01	-	-	-	0
0.372	00669.01	-00070.68	01342.58	01501.70	-	-	-	0
0.377	00657.80	-00076.86	01331.69	01487.28	-	-	-	0
0.382	00646.78	-00082.46	01321.59	01473.68	-	-	-	0
0.386	00635.98	-00087.46	01312.22	01460.84	-	-	-	0
0.391	00625.32	-00091.83	01303.52	01448.66	-	-	-	0
0.396	00614.72	-00095.57	01295.33	01436.97	-	-	-	0
0.400	00603.98	-00098.61	01287.39	01425.44	-	-	-	0
0.405	00593.14	-00100.91	01279.68	01414.06	-	-	-	0
0.410	00582.10	-00102.50	01272.16	01402.76	-	-	-	0
0.414	00570.89	-00103.31	01264.80	01391.52	-	-	-	0
0.419	00559.31	-00103.35	01257.49	01380.14	-	-	-	0
0.424	00547.48	-00102.52	01250.30	01368.76	-	-	-	0
0.428	00535.40	-00100.79	01243.11	01357.25	-	-	-	0
0.433	00523.19	-00098.14	01236.00	01345.76	-	-	-	0
0.437	00510.85	-00094.51	01228.86	01334.16	-	-	-	0
0.442	00498.47	-00089.96	01221.54	01322.40	-	-	-	0
0.447	00485.96	-00084.62	01213.93	01310.32	-	-	-	0
0.451	00473.52	-00078.51	01205.87	01297.89	-	-	-	0
0.456	00461.15	-00071.72	01197.14	01284.89	-	-	-	0
0.461	00448.95	-00064.37	01187.55	01271.21	-	-	-	0
0.465	00437.04	-00056.64	01176.96	01256.76	-	-	-	0
0.470	00425.52	-00048.72	01165.05	01241.28	-	-	-	0
0.475	00414.41	-00040.80	01151.61	01224.58	-	-	-	0
0.479	00403.73	-00033.07	01136.30	01206.34	-	-	-	0
0.484	00393.62	-00025.59	01118.95	01186.44	-	-	-	0
0.488	00384.00	-00018.58	01099.25	01164.53	-	-	-	0
0.493	00374.92	-00012.12	01076.95	01140.41	-	-	-	0
0.498	00366.21	-00006.30	01051.67	01113.63	-	-	-	0
0.502	00357.84	-00001.26	01023.06	01083.83	-	-	-	0
0.507	00349.75	00003.00	00990.82	01050.74	-	-	-	0
0.539	00341.92	00006.34	00954.59	01014.00	-	-	-	0
0.544	00334.10	00008.92	00916.24	00975.30	-	-	-	0
0.548	00326.36	00010.78	00877.04	00935.86	-	-	-	0
0.553	00318.67	00012.07	00837.82	00896.46	-	-	-	0
0.557	00311.12	00012.93	00799.18	00857.70	-	-	-	0
0.562	00303.79	00013.47	00761.63	00820.09	-	-	-	0
0.566	00296.76	00013.82	00725.59	00784.05	-	-	-	0
0.571	00290.13	00013.98	00691.29	00749.83	-	-	-	0
0.575	00283.89	00014.06	00658.98	00717.67	-	-	-	0
0.580	00278.03	00014.18	00628.75	00687.63	-	-	-	0
0.584	00272.68	00014.33	00600.81	00659.95	-	-	-	0
0.589	00267.83	00014.51	00575.32	00634.78	-	-	-	0
0.593	00263.41	00014.74	00552.37	00612.14	-	-	-	0
0.598	00259.34	00015.02	00531.99	00592.03	-	-	-	0
0.602	00255.65	00015.34	00514.03	00574.30	-	-	-	0
0.607	00252.39	00015.72	00498.49	00558.96	-	-	-	0
